threshold,group,accuracy,fpr,fnr
0.2,A,1.0,0.0,0.0
0.2,B,0.996,0.0,0.004
0.2,C,0.9944547134935305,0.0,0.005545286506469501
0.2,D,0.9818181818181818,0.0,0.01818181818181818
0.2,E,0.9929078014184397,0.0,0.0070921985815602835
0.2,F,1.0,0.0,0.0
0.2,G,0.9957127545551983,0.0,0.004287245444801715
0.2,H,1.0,0.0,0.0
0.2,I,1.0,0.0,0.0
0.2,J,0.9981634527089073,0.0,0.0018365472910927456
0.2,K,1.0,0.0,0.0
0.2,L,1.0,0.0,0.0
0.2,M,0.9901768172888016,0.0,0.009823182711198428
0.2,N,0.9947916666666666,0.0,0.005208333333333333
0.2,O,1.0,0.0,0.0
0.2,P,0.991869918699187,0.0,0.008130081300813009
0.2,Q,1.0,0.0,0.0
0.2,R,0.9954337899543378,0.0,0.0045662100456621
0.2,S,0.9831932773109243,0.0,0.01680672268907563
0.2,T,0.9977528089887641,0.0,0.0022471910112359553
0.2,U,1.0,0.0,0.0
0.2,V,1.0,0.0,0.0
0.2,W,1.0,0.0,0.0
0.2,X,1.0,0.0,0.0
0.2,Y,1.0,0.0,0.0
0.2,Z,1.0,0.0,0.0
0.2,mixed,0.9973085721975508,0.0026914278024491992,0.0
0.21000000000000002,A,1.0,0.0,0.0
0.21000000000000002,B,0.996,0.0,0.004
0.21000000000000002,C,0.9944547134935305,0.0,0.005545286506469501
0.21000000000000002,D,0.9818181818181818,0.0,0.01818181818181818
0.21000000000000002,E,0.9929078014184397,0.0,0.0070921985815602835
0.21000000000000002,F,1.0,0.0,0.0
0.21000000000000002,G,0.9957127545551983,0.0,0.004287245444801715
0.21000000000000002,H,1.0,0.0,0.0
0.21000000000000002,I,1.0,0.0,0.0
0.21000000000000002,J,0.9981634527089073,0.0,0.0018365472910927456
0.21000000000000002,K,1.0,0.0,0.0
0.21000000000000002,L,1.0,0.0,0.0
0.21000000000000002,M,0.9901768172888016,0.0,0.009823182711198428
0.21000000000000002,N,0.9895833333333334,0.0,0.010416666666666666
0.21000000000000002,O,1.0,0.0,0.0
0.21000000000000002,P,0.991869918699187,0.0,0.008130081300813009
0.21000000000000002,Q,1.0,0.0,0.0
0.21000000000000002,R,0.9954337899543378,0.0,0.0045662100456621
0.21000000000000002,S,0.9831932773109243,0.0,0.01680672268907563
0.21000000000000002,T,0.9977528089887641,0.0,0.0022471910112359553
0.21000000000000002,U,1.0,0.0,0.0
0.21000000000000002,V,1.0,0.0,0.0
0.21000000000000002,W,1.0,0.0,0.0
0.21000000000000002,X,1.0,0.0,0.0
0.21000000000000002,Y,1.0,0.0,0.0
0.21000000000000002,Z,1.0,0.0,0.0
0.21000000000000002,mixed,0.9981160005382855,0.0018839994617144396,0.0
0.22000000000000003,A,1.0,0.0,0.0
0.22000000000000003,B,0.996,0.0,0.004
0.22000000000000003,C,0.9944547134935305,0.0,0.005545286506469501
0.22000000000000003,D,0.9818181818181818,0.0,0.01818181818181818
0.22000000000000003,E,0.9929078014184397,0.0,0.0070921985815602835
0.22000000000000003,F,1.0,0.0,0.0
0.22000000000000003,G,0.9957127545551983,0.0,0.004287245444801715
0.22000000000000003,H,1.0,0.0,0.0
0.22000000000000003,I,1.0,0.0,0.0
0.22000000000000003,J,0.9981634527089073,0.0,0.0018365472910927456
0.22000000000000003,K,1.0,0.0,0.0
0.22000000000000003,L,1.0,0.0,0.0
